NamProv,Value,NamProv_R,Value_R
Aceh,1.34,DKI Jakarta,20.04
Sumatera Utara,6.12,Sulawesi Barat,15.07
Sumatera Barat,6.03,Jambi,11.96
Riau,9.78,Jawa Barat,11.28
Kepulauan Riau,5.84,Sulawesi Utara,10.62
Jambi,11.96,Bengkulu,9.92
Sumatera Selatan,6.09,Riau,9.78
Bengkulu,9.92,Bangka-Belitung,8.06
Bangka-Belitung,8.06,Kalimantan Tengah,7.71
Lampung,3.33,Indonesia,7.4
DKI Jakarta,20.04,Kalimantan Timur,6.91
Jawa Barat,11.28,Papua,6.76
Jawa Tengah,4.98,D I Yogyakarta,6.49
D I Yogyakarta,6.49,Nusa Tenggara Timur,6.48
Jawa Timur,6.26,Jawa Timur,6.26
Banten,5.09,Sumatera Utara,6.12
Bali,4.64,Sumatera Selatan,6.09
Nusa Tenggara Barat,4.9,Sumatera Barat,6.03
Nusa Tenggara Timur,6.48,Kepulauan Riau,5.84
Kalimantan Barat,5.58,Kalimantan Barat,5.58
Kalimantan Tengah,7.71,Sulawesi Selatan,5.1
Kalimantan Selatan,2.78,Banten,5.09
Kalimantan Timur,6.91,Jawa Tengah,4.98
Kalimantan Utara,4.9,Nusa Tenggara Barat,4.9
Sulawesi Utara,10.62,Kalimantan Utara,4.9
Sulawesi Tengah,3.52,Bali,4.64
Sulawesi Selatan,5.1,Maluku Utara,4.09
Sulawesi Tenggara,2.26,Sulawesi Tengah,3.52
Gorontalo,1.02,Papua Barat,3.43
Sulawesi Barat,15.07,Maluku,3.34
Maluku,3.34,Lampung,3.33
Maluku Utara,4.09,Kalimantan Selatan,2.78
Papua Barat,3.43,Sulawesi Tenggara,2.26
Papua,6.76,Aceh,1.34
Indonesia,7.4,Gorontalo,1.02
